Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
Curacao,Netherlands,12.1696,-68.99,2020-01-22,0.0,0.0,Netherlands / Curacao,,,,
Curacao,Netherlands,12.1696,-68.99,2020-01-23,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-24,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-25,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-26,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-27,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-28,0.0,0.0,Netherlands / Curacao,0.0,0.0,,
Curacao,Netherlands,12.1696,-68.99,2020-01-29,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-01-30,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-01-31,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-01,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-02,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-03,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-04,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-05,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-06,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-07,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-08,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-09,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-10,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-11,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-12,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-13,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-14,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-15,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-16,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-17,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-18,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-19,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-20,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-21,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-22,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-23,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-24,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-25,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-26,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-27,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-28,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-02-29,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-01,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-02,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-03,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-04,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-05,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-06,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-07,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-08,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-09,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-10,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-11,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-12,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-13,0.0,0.0,Netherlands / Curacao,0.0,0.0,0.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-14,1.0,0.0,Netherlands / Curacao,1.0,0.0,0.14285714285714285,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-15,1.0,0.0,Netherlands / Curacao,0.0,0.0,0.14285714285714285,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-16,1.0,0.0,Netherlands / Curacao,0.0,0.0,0.14285714285714285,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-17,3.0,0.0,Netherlands / Curacao,2.0,0.0,0.42857142857142855,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-18,3.0,0.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-19,3.0,1.0,Netherlands / Curacao,0.0,1.0,0.42857142857142855,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-20,3.0,1.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-21,3.0,1.0,Netherlands / Curacao,0.0,0.0,0.2857142857142857,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-22,3.0,1.0,Netherlands / Curacao,0.0,0.0,0.2857142857142857,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-23,4.0,1.0,Netherlands / Curacao,1.0,0.0,0.42857142857142855,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-24,6.0,1.0,Netherlands / Curacao,2.0,0.0,0.42857142857142855,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-25,6.0,1.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.14285714285714285
Curacao,Netherlands,12.1696,-68.99,2020-03-26,6.0,1.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-27,8.0,1.0,Netherlands / Curacao,2.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-28,8.0,1.0,Netherlands / Curacao,0.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-29,8.0,1.0,Netherlands / Curacao,0.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-30,11.0,1.0,Netherlands / Curacao,3.0,0.0,1.0,0.0
Curacao,Netherlands,12.1696,-68.99,2020-03-31,11.0,1.0,Netherlands / Curacao,0.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-04-01,11.0,1.0,Netherlands / Curacao,0.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-04-02,11.0,1.0,Netherlands / Curacao,0.0,0.0,0.7142857142857143,0.0
Curacao,Netherlands,12.1696,-68.99,2020-04-03,11.0,1.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.0
Curacao,Netherlands,12.1696,-68.99,2020-04-04,11.0,1.0,Netherlands / Curacao,0.0,0.0,0.42857142857142855,0.0
