Province,Country,Lat,Long,Date,Confirmed,Deaths,Key,ConfirmedNew,DeathsNew,ConfirmedNewMean,DeathsNewMean
,Namibia,-22.9576,18.4904,2020-01-22,0.0,0.0,Namibia / ,,,,
,Namibia,-22.9576,18.4904,2020-01-23,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-24,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-25,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-26,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-27,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-28,0.0,0.0,Namibia / ,0.0,0.0,,
,Namibia,-22.9576,18.4904,2020-01-29,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-01-30,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-01-31,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-01,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-02,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-03,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-04,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-05,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-06,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-07,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-08,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-09,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-10,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-11,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-12,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-13,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-14,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-15,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-16,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-17,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-18,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-19,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-20,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-21,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-22,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-23,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-24,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-25,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-26,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-27,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-28,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-02-29,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-01,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-02,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-03,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-04,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-05,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-06,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-07,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-08,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-09,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-10,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-11,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-12,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-13,0.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-03-14,2.0,0.0,Namibia / ,2.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-15,2.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-16,2.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-17,2.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-18,2.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-19,3.0,0.0,Namibia / ,1.0,0.0,0.42857142857142855,0.0
,Namibia,-22.9576,18.4904,2020-03-20,3.0,0.0,Namibia / ,0.0,0.0,0.42857142857142855,0.0
,Namibia,-22.9576,18.4904,2020-03-21,3.0,0.0,Namibia / ,0.0,0.0,0.14285714285714285,0.0
,Namibia,-22.9576,18.4904,2020-03-22,3.0,0.0,Namibia / ,0.0,0.0,0.14285714285714285,0.0
,Namibia,-22.9576,18.4904,2020-03-23,4.0,0.0,Namibia / ,1.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-03-24,7.0,0.0,Namibia / ,3.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-03-25,7.0,0.0,Namibia / ,0.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-03-26,8.0,0.0,Namibia / ,1.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-03-27,8.0,0.0,Namibia / ,0.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-03-28,8.0,0.0,Namibia / ,0.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-03-29,11.0,0.0,Namibia / ,3.0,0.0,1.1428571428571428,0.0
,Namibia,-22.9576,18.4904,2020-03-30,11.0,0.0,Namibia / ,0.0,0.0,1.0,0.0
,Namibia,-22.9576,18.4904,2020-03-31,11.0,0.0,Namibia / ,0.0,0.0,0.5714285714285714,0.0
,Namibia,-22.9576,18.4904,2020-04-01,14.0,0.0,Namibia / ,3.0,0.0,1.0,0.0
,Namibia,-22.9576,18.4904,2020-04-02,14.0,0.0,Namibia / ,0.0,0.0,0.8571428571428571,0.0
,Namibia,-22.9576,18.4904,2020-04-03,14.0,0.0,Namibia / ,0.0,0.0,0.8571428571428571,0.0
,Namibia,-22.9576,18.4904,2020-04-04,14.0,0.0,Namibia / ,0.0,0.0,0.8571428571428571,0.0
,Namibia,-22.9576,18.4904,2020-04-05,16.0,0.0,Namibia / ,2.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-04-06,16.0,0.0,Namibia / ,0.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-04-07,16.0,0.0,Namibia / ,0.0,0.0,0.7142857142857143,0.0
,Namibia,-22.9576,18.4904,2020-04-08,16.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-04-09,16.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-04-10,16.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-04-11,16.0,0.0,Namibia / ,0.0,0.0,0.2857142857142857,0.0
,Namibia,-22.9576,18.4904,2020-04-12,16.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-04-13,16.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-04-14,16.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
,Namibia,-22.9576,18.4904,2020-04-15,16.0,0.0,Namibia / ,0.0,0.0,0.0,0.0
